Output File                                                           Name                                           Type        FSH File                                                    Lines
CodeSystem-scopeOfPractice.json                                       ScopeOfPractice                                CodeSystem  vocabulary/practitioner-scope-of-practice.fsh               13 - 149
Condition-condition-long-term-condition.json                          condition-long-term-condition                  Instance    examples/condition-long-term-condition.fsh                  2 - 11
Coverage-CoverageCSC.json                                             CoverageCSC                                    Instance    examples/coverage-csc.fsh                                   3 - 28
Coverage-CoverageGMS.json                                             CoverageGMS                                    Instance    examples/coverage-gms.fsh                                   1 - 28
Coverage-CoverageHUHC.json                                            CoverageHUHC                                   Instance    examples/coverage-HUHC.fsh                                  3 - 28
Location-location-alias-type.json                                     location-alias-type                            Instance    examples/location-alias-type.fsh                            1 - 10
Location-location-established.json                                    location-established                           Instance    examples/location-established.fsh                           1 - 10
MedicationRequest-medicationrequest-nzeps-long-term-medication.json   medicationrequest-nzeps-long-term-medication   Instance    examples/medicationrequest-nzeps-long-term-medication.fsh   2 - 13
MedicationRequest-medicationrequest-nzeps-supply-period-reason.json   medicationrequest-nzeps-supply-period-reason   Instance    examples/medicationrequest-nzeps-supply-period-reason.fsh   1 - 13
MedicationRequest-medicationrequest-nzeps-unusual-dose-quantity.json  medicationrequest-nzeps-unusual-dose-quantity  Instance    examples/medicationrequest-nzeps-unusual-dose-quantity.fsh  1 - 13
NamingSystem-acc45-id.json                                            acc45-id                                       Instance    vocabulary/namingSystems.fsh                                520 - 533
NamingSystem-chiropractic-board-id.json                               chiropractic-board-id                          Instance    vocabulary/namingSystems.fsh                                240 - 258
NamingSystem-dental-council-id.json                                   dental-council-id                              Instance    vocabulary/namingSystems.fsh                                261 - 279
NamingSystem-dietitians-board-id.json                                 dietitians-board-id                            Instance    vocabulary/namingSystems.fsh                                282 - 300
NamingSystem-hpi-facility-id.json                                     hpi-facility-id                                Instance    vocabulary/namingSystems.fsh                                85 - 113
NamingSystem-hpi-nzbn.json                                            hpi-nzbn                                       Instance    vocabulary/namingSystems.fsh                                222 - 237
NamingSystem-hpi-organisation-id.json                                 hpi-organisation-id                            Instance    vocabulary/namingSystems.fsh                                48 - 78
NamingSystem-hpi-person-id.json                                       hpi-person-id                                  Instance    vocabulary/namingSystems.fsh                                23 - 46
NamingSystem-medical-council-id.json                                  medical-council-id                             Instance    vocabulary/namingSystems.fsh                                136 - 154
NamingSystem-medical-radiation-technologists-board-id.json            medical-radiation-technologists-board-id       Instance    vocabulary/namingSystems.fsh                                502 - 517
NamingSystem-medical-sciences-council-id.json                         medical-sciences-council-id                    Instance    vocabulary/namingSystems.fsh                                325 - 342
NamingSystem-midwifery-council-id.json                                midwifery-council-id                           Instance    vocabulary/namingSystems.fsh                                202 - 220
NamingSystem-moe-facility-id.json                                     moe-facility-id                                Instance    vocabulary/namingSystems.fsh                                535 - 554
NamingSystem-nhi-id.json                                              nhi-id                                         Instance    vocabulary/namingSystems.fsh                                1 - 21
NamingSystem-nursing-council-id.json                                  nursing-council-id                             Instance    vocabulary/namingSystems.fsh                                157 - 175
NamingSystem-nz-address-id.json                                       nz-address-id                                  Instance    vocabulary/namingSystems.fsh                                556 - 575
NamingSystem-occupational-therapy-board-id.json                       occupational-therapy-board-id                  Instance    vocabulary/namingSystems.fsh                                363 - 381
NamingSystem-optometrists-dispensing-opticians-board-id.json          optometrists-dispensing-opticians-board-id     Instance    vocabulary/namingSystems.fsh                                404 - 422
NamingSystem-osteopathic-council-id.json                              osteopathic-council-id                         Instance    vocabulary/namingSystems.fsh                                424 - 442
NamingSystem-paramedic-council-id.json                                paramedic-council-id                           Instance    vocabulary/namingSystems.fsh                                344 - 361
NamingSystem-pharmacy-council-id.json                                 pharmacy-council-id                            Instance    vocabulary/namingSystems.fsh                                178 - 199
NamingSystem-physiotherapy-board-id.json                              physiotherapy-board-id                         Instance    vocabulary/namingSystems.fsh                                444 - 462
NamingSystem-podiatrists-board-id.json                                podiatrists-board-id                           Instance    vocabulary/namingSystems.fsh                                464 - 480
NamingSystem-psychologists-board-id.json                              psychologists-board-id                         Instance    vocabulary/namingSystems.fsh                                482 - 500
NamingSystem-psychotherapists-board-id.json                           psychotherapists-board-id                      Instance    vocabulary/namingSystems.fsh                                384 - 402
NamingSystem-rheumatic-fever-ccs-id.json                              rheumatic-fever-ccs-id                         Instance    vocabulary/namingSystems.fsh                                577 - 596
Organization-organization-edi-address.json                            organization-edi-address                       Instance    examples/organization-edi-address.fsh                       1 - 11
Organization-organization-funded-programme.json                       organization-funded-programme                  Instance    examples/organization-funded-programme.fsh                  4 - 21
Organization-organization-moh.json                                    organization-moh                               Instance    examples/organization-moh.fsh                               3 - 8
Patient-patient-address-building-name.json                            patient-address-building-name                  Instance    examples/address-building-name.fsh                          1 - 17
Patient-patient-address-suburb.json                                   patient-address-suburb                         Instance    examples/address-suburb.fsh                                 1 - 19
Patient-patient-building-name.json                                    patient-building-name                          Instance    examples/patient-building-name.fsh                          2 - 18
Patient-patient-deceased-information-source.json                      patient-deceased-information-source            Instance    examples/patient-deceased-information-source.fsh            3 - 16
Patient-patient-dhb.json                                              patient-dhb                                    Instance    examples/patient-dhb.fsh                                    2 - 14
Patient-patient-domicile-code.json                                    patient-domicile-code                          Instance    examples/patient-domicile-code.fsh                          3 - 15
Patient-patient-information-source.json                               patient-information-source                     Instance    examples/patient-information-source.fsh                     3 - 18
Patient-patient-messaging-address.json                                patient-messaging-address                      Instance    examples/patient-messaging-address.fsh                      2 - 18
Patient-patient-nhi.json                                              patient-nhi                                    Instance    examples/patient-nhi.fsh                                    3 - 41
Patient-patient-nz-citizenship.json                                   patient-nz-citizenship                         Instance    examples/patient-nz-citizenship.fsh                         5 - 21
Patient-patient-nz-ethnicity.json                                     patient-nz-ethnicity                           Instance    examples/patient-nz-ethnicity.fsh                           3 - 18
Patient-patient-nz-geocode.json                                       patient-nz-geocode                             Instance    examples/patient-nz-geocode.fsh                             2 - 20
Patient-patient-nz-residency.json                                     patient-nz-residency                           Instance    examples/patient-nz-residency-status.fsh                    5 - 21
Patient-patient-pho.json                                              patient-pho                                    Instance    examples/patient-pho.fsh                                    1 - 13
Patient-patient-sex-at-birth.json                                     patient-sex-at-birth                           Instance    examples/patient-sex-at-birth.fsh                           2 - 14
Patient-patient-suburb.json                                           patient-suburb                                 Instance    examples/patient-building-suburb.fsh                        2 - 18
Practitioner-practitioner-additional-authorisation.json               practitioner-additional-authorisation          Instance    examples/practitioner-additional-authorisation.fsh          3 - 27
Practitioner-practitioner-condition-on-practice.json                  practitioner-condition-on-practice             Instance    examples/practitioner-condition-on-practice.fsh             2 - 21
Practitioner-practitioner-death-date.json                             practitioner-death-date                        Instance    examples/practitioner-death-date.fsh                        2 - 17
Practitioner-practitioner-edi-address.json                            practitioner-edi-address                       Instance    examples/practitioner-edi-address.fsh                       2 - 16
Practitioner-practitioner-educational-qualification.json              practitioner-educational-qualification         Instance    examples/practitioner-educational-qualification.fsh         1 - 42
Practitioner-practitioner-registration-initial-date.json              practitioner-registration-initial-date         Instance    examples/practitioner-registration-initial-date.fsh         2 - 16
Practitioner-practitioner-registration-status-code.json               practitioner-registration-status-code          Instance    examples/practitioner-registration-status-code.fsh          3 - 22
Practitioner-practitioner-scope-of-practice.json                      practitioner-scope-of-practice                 Instance    examples/practitioner-scope-of-practice.fsh                 3 - 22
PractitionerRole-practitionerRole-creator.json                        practitionerRole-creator                       Instance    examples/practitionerRole-practitionerRole-creator.fsh      2 - 17
PractitionerRole-practitionerRole-messaging-address.json              practitionerRole-messaging-address             Instance    examples/practitionerRole-messaging-address.fsh             1 - 13
PractitionerRole-practitionerRole-status-reason.json                  practitionerRole-status-reason                 Instance    examples/practitionerRole-status-reason-code.fsh            1 - 9
StructureDefinition-NzAddress.json                                    NzAddress                                      Profile     profiles/profile-nzAddress.fsh                              10 - 43
StructureDefinition-NzCondition.json                                  NzCondition                                    Profile     profiles/Condition.fsh                                      1 - 13
StructureDefinition-NzContactPoint.json                               NzContactPoint                                 Profile     profiles/profile-nzContactPoint.fsh                         2 - 21
StructureDefinition-NzCoverage.json                                   NzCoverage                                     Profile     profiles/Coverage.fsh                                       1 - 21
StructureDefinition-NzHealthcareService.json                          NzHealthcareService                            Profile     profiles/HealthcareService.fsh                              1 - 16
StructureDefinition-NzLocation.json                                   NzLocation                                     Profile     profiles/Location.fsh                                       1 - 22
StructureDefinition-NzMedication.json                                 NzMedication                                   Profile     profiles/NzMedication.fsh                                   1 - 19
StructureDefinition-NzMedicationDispense.json                         NzMedicationDispense                           Profile     profiles/NzMedicationDispense.fsh                           1 - 14
StructureDefinition-NzMedicationRequest.json                          NzMedicationRequest                            Profile     profiles/MedicationRequest.fsh                              1 - 19
StructureDefinition-NzMedicationStatement.json                        NzMedicationStatement                          Profile     profiles/MedicationStatement.fsh                            1 - 17
StructureDefinition-NzOrganization.json                               NzOrganization                                 Profile     profiles/Organization.fsh                                   1 - 18
StructureDefinition-NzPatient.json                                    NzPatient                                      Profile     profiles/Patient.fsh                                        17 - 110
StructureDefinition-NzPractitioner.json                               NzPractitioner                                 Profile     profiles/Practitioner.fsh                                   1 - 25
StructureDefinition-NzPractitionerRole.json                           NzPractitionerRole                             Profile     profiles/PractitionerRole.fsh                               1 - 15
StructureDefinition-NzRelatedPerson.json                              NzRelatedPerson                                Profile     profiles/RelatedPerson.fsh                                  1 - 13
StructureDefinition-acc-patient-occupation.json                       AccPatientOccupation                           Extension   extensions/acc-patient-occupation.fsh                       1 - 15
StructureDefinition-additional-authorisation.json                     AdditionalAuthorisation                        Extension   extensions/additional-authorisation.fsh                     1 - 27
StructureDefinition-alias-type.json                                   AliasType                                      Extension   extensions/alias-type.fsh                                   1 - 21
StructureDefinition-building-name.json                                Building_name                                  Extension   extensions/building-name.fsh                                1 - 17
StructureDefinition-condition-on-practice.json                        ConditionOnPractice                            Extension   extensions/condition-on-practice.fsh                        1 - 24
StructureDefinition-contactpoint-purpose.json                         Contactpoint_purpose                           Extension   extensions/contact-purpose.fsh                              1 - 22
StructureDefinition-country-name.json                                 Country_name                                   Extension   extensions/country-name.fsh                                 1 - 17
StructureDefinition-death-date.json                                   Death_date                                     Extension   extensions/death-date.fsh                                   1 - 39
StructureDefinition-dhb.json                                          Dhb                                            Extension   extensions/dhb.fsh                                          1 - 41
StructureDefinition-domicile-code.json                                Domicile_code                                  Extension   extensions/domicile-code.fsh                                1 - 25
StructureDefinition-edi-address.json                                  Edi_address                                    Extension   extensions/edi-address.fsh                                  1 - 25
StructureDefinition-educational-qualification.json                    EducationalQualification                       Extension   extensions/educational-qualification.fsh                    1 - 58
StructureDefinition-established.json                                  Established                                    Extension   extensions/established.fsh                                  1 - 17
StructureDefinition-funded-programme.json                             Funded_programme                               Extension   extensions/funded-programme.fsh                             1 - 47
StructureDefinition-gender-original-text.json                         GenderOriginalText                             Extension   extensions/gender-original-text.fsh                         1 - 12
StructureDefinition-information-source.json                           Information_source                             Extension   extensions/Information-source.fsh                           1 - 35
StructureDefinition-long-term-condition.json                          Long_term_condition                            Extension   extensions/long-term-condition.fsh                          1 - 31
StructureDefinition-maori-descent.json                                MaoriDescent                                   Extension   extensions/maori-descent.fsh                                1 - 9
StructureDefinition-messaging-address.json                            Messaging_address                              Extension   extensions/messaging-address.fsh                            1 - 39
StructureDefinition-nz-citizenship.json                               Nz_citizenship                                 Extension   extensions/nz-citizenship.fsh                               1 - 31
StructureDefinition-nz-ethnicity.json                                 Nz_ethnicity                                   Extension   extensions/nz-ethnicity.fsh                                 1 - 31
StructureDefinition-nz-geocode.json                                   Nz_geocode                                     Extension   extensions/nz-geocode.fsh                                   1 - 35
StructureDefinition-nz-iwi.json                                       Nz_iwi                                         Extension   extensions/nz-iwi.fsh                                       1 - 18
StructureDefinition-nz-residency.json                                 NZResidency                                    Extension   extensions/nz-residency.fsh                                 1 - 37
StructureDefinition-nzeps-long-term-medication.json                   Nzeps_long_term_medication                     Extension   extensions/nzeps-long_term-medication.fsh                   1 - 32
StructureDefinition-nzeps-supply-period-reason.json                   Nzeps_supply_period_reason                     Extension   extensions/nzeps-supply-period-reason.fsh                   1 - 30
StructureDefinition-nzeps-unusual-dose-quantity.json                  Nzeps_unusual_dose_quantity                    Extension   extensions/nzeps-unusual-dose-quantity.fsh                  1 - 29
StructureDefinition-nzf-atc.json                                      Nzf_atc                                        Extension   extensions/nzf-atc.fsh                                      1 - 17
StructureDefinition-nzf-nzmt-type.json                                Nzf_nzmt_type                                  Extension   extensions/nzf-nzmt-type.fsh                                1 - 19
StructureDefinition-pho.json                                          Pho                                            Extension   extensions/pho.fsh                                          1 - 41
StructureDefinition-practitionerRole-creator.json                     PractitionerRoleCreator                        Extension   extensions/practitionerRole-creator.fsh                     1 - 24
StructureDefinition-practitionerRole-status-reason.json               PractitionerRoleStatusReason                   Extension   extensions/practitionerRole-status-reason.fsh               1 - 14
StructureDefinition-registration-initial-date.json                    RegistrationInitialDate                        Extension   extensions/registration-initial-date.fsh                    1 - 13
StructureDefinition-registration-status-code.json                     RegistrationStatusCode                         Extension   extensions/registration-status-code.fsh                     1 - 22
StructureDefinition-scope-of-practice.json                            ScopeOfPractice                                Extension   extensions/scope-of-practice.fsh                            1 - 28
StructureDefinition-sex-at-birth.json                                 Sex_at_birth                                   Extension   extensions/sex-at-birth.fsh                                 5 - 27
StructureDefinition-suburb.json                                       Suburb                                         Extension   extensions/suburb.fsh                                       1 - 36
ValueSet-acc-patient-occupation-valueset.json                         AccPatientOccupationValueSet                   ValueSet    vocabulary/acc-patient-ocupation.fsh                        3 - 9
ValueSet-citizenship-status.json                                      CitizenshipStatus                              ValueSet    vocabulary/citizenship-status.fsh                           1 - 9
ValueSet-contact-point-purpose.json                                   ContactPointPurpose                            ValueSet    vocabulary/contact-point-purpose.fsh                        1 - 10
ValueSet-coverage-category.json                                       CoverageCategory                               ValueSet    vocabulary/coverage-category.fsh                            2 - 9
ValueSet-coverage-type.json                                           CoverageType                                   ValueSet    vocabulary/coverage-type.fsh                                2 - 10
ValueSet-datumCode.json                                               DatumCode                                      ValueSet    extensions/nz-geocode.fsh                                   37 - 46
ValueSet-dhb.json                                                     DHB                                            ValueSet    vocabulary/dhb.fsh                                          1 - 11
ValueSet-dod-information-source.json                                  DodInformationSource                           ValueSet    vocabulary/information-source.fsh                           12 - 25
ValueSet-domicile-code.json                                           DomicileCode                                   ValueSet    vocabulary/domicile-code.fsh                                2 - 9
ValueSet-ethnicity.json                                               Ethnicity                                      ValueSet    vocabulary/ethnicity-l4.fsh                                 1 - 11
ValueSet-ethnicityfull.json                                           Ethnicityfull                                  ValueSet    vocabulary/ethnicityFull.fsh                                1 - 8
ValueSet-funded-programme.json                                        FundedProgramme                                ValueSet    vocabulary/funded-programme.fsh                             1 - 8
ValueSet-hpi-practitionerrole-status-reason.json                      PractitionerRoleStatusReason                   ValueSet    vocabulary/hpi-practitionerrole-status-reason.fsh           3 - 12
ValueSet-information-source.json                                      InformationSource                              ValueSet    vocabulary/information-source.fsh                           2 - 9
ValueSet-iwi.json                                                     Iwi                                            ValueSet    vocabulary/iwi-updated.fsh                                  12 - 19
ValueSet-location-alias-type.json                                     AliasType                                      ValueSet    vocabulary/alias-type.fsh                                   23 - 30
ValueSet-maori-descent-valueset.json                                  MaoriDescentValues                             ValueSet    vocabulary/maori-descent.fsh                                1 - 7
ValueSet-nhi-use.json                                                 NHIUse                                         ValueSet    profiles/Patient.fsh                                        118 - 126
ValueSet-nz-residency.json                                            NZResidency                                    ValueSet    vocabulary/nz-residency-status.fsh                          1 - 9
ValueSet-pho.json                                                     PHO                                            ValueSet    vocabulary/pho.fsh                                          1 - 8
ValueSet-practitioner-additional-authorisation-code.json              PractitionerAdditionalAuthorisationCode        ValueSet    vocabulary/practitioner-additional-authorisation-code.fsh   2 - 11
ValueSet-practitioner-registration-status-code.json                   PractitionerRegistrationStatusCode             ValueSet    vocabulary/practitioner-registration-status-code.fsh        3 - 12
ValueSet-practitioner-scope-of-practice.json                          PractitionerScopeOfPractice                    ValueSet    vocabulary/practitioner-scope-of-practice.fsh               1 - 10
